Id;Kecamatan;Tahun;JP;JK;ASI;GIZI;Ei
1;Andir;2014;7529;1708;756;32;476.8907202
2;Antapani;2014;6652;156;387;9;421.3410906
3;Arcamanik;2014;5532;237;197;10;350.3997163
4;Astanaanyar;2014;5451;428;178;0;345.2691348
5;Babakan Ciparay;2014;13016;649;299;25;824.4401135
6;Bandung Kidul;2014;5037;677;197;8;319.0461625
7;Bandung Kulon;2014;12797;487;900;11;810.5685412
8;Bandung Wetan;2014;3457;306;222;11;218.9681524
9;Batununggal;2014;9727;262;397;22;616.1131672
10;Bojongloa Kaler;2014;9869;213;283;5;625.10752
11;Bojongloa Kidul;2014;7326;488;597;11;464.0325961
12;Buahbatu;2014;8044;82;378;1;509.5110843
13;Cibeunying Kaler;2014;6904;190;146;0;437.3028998
14;Cibeunying Kidul;2014;9112;378;778;38;577.1587518
15;Cibiru;2014;7118;476;363;2;450.8577695
16;Cicendo;2014;8333;2045;466;8;527.8164924
17;Cidadap;2014;6860;129;235;0;434.5159172
18;Cinambo;2014;2109;148;244;1;133.5851413
19;Coblong;2014;16847;914;118;22;1067.097618
20;Gedebage;2014;2885;411;1403;78;182.7373792
21;Kiaracondong;2014;10757;1474;226;36;681.3538953
22;Lengkong;2014;5875;229;497;7;372.1255122
23;Mandalajati;2014;5171;206;160;2;327.5337912
24;Panyileukan;2014;4059;334;167;9;257.0991411
25;Rancasari;2014;6256;497;214;3;396.2582475
26;Regol;2014;6932;313;435;19;439.0764341
27;Sukajadi;2014;10020;211;590;0;634.6719374
28;Sukasari;2014;9777;574;86;10;619.2801928
29;Sumur Bandung;2014;2983;150;129;25;188.9447494
30;Ujungberung;2014;6057;97;488;2;383.6534855
1;Andir;2015;8624;1828;377;6;546.2485816
2;Antapani;2015;6259;120;484;5;396.4482691
3;Arcamanik;2015;5977;284;194;2;378.5862445
4;Astanaanyar;2015;10244;816;240;16;648.8602122
5;Babakan Ciparay;2015;11036;724;435;9;699.0258983
6;Bandung Kidul;2015;4813;904;95;0;304.8578877
7;Bandung Kulon;2015;11043;601;873;3;699.4692819
8;Bandung Wetan;2015;2618;142;120;6;165.8254623
9;Batununggal;2015;9870;387;461;63;625.1708605
10;Bojongloa Kaler;2015;6228;359;350;3;394.4847132
11;Bojongloa Kidul;2015;7045;344;626;4;446.2339121
12;Buahbatu;2015;8178;149;455;2;517.998713
13;Cibeunying Kaler;2015;5743;211;98;6;363.7645645
14;Cibeunying Kidul;2015;9222;788;158;25;584.1262082
15;Cibiru;2015;5938;775;436;4;376.1159645
16;Cicendo;2015;7928;1548;677;2;502.1635848
17;Cidadap;2015;4406;189;239;0;279.078299
18;Cinambo;2015;2019;215;292;0;127.8844952
19;Coblong;2015;9371;1040;584;0;593.5639446
20;Gedebage;2015;3172;483;263;3;200.9161063
21;Kiaracondong;2015;10344;942;1194;43;655.1942635
22;Lengkong;2015;6053;385;271;11;383.4001235
23;Mandalajati;2015;5611;242;576;7;355.4036168
24;Panyileukan;2015;3163;383;103;0;200.3460417
25;Rancasari;2015;6700;460;448;15;424.3814352
26;Regol;2015;6914;269;323;1;437.9363049
27;Sukajadi;2015;8373;149;559;44;530.3501129
28;Sukasari;2015;6128;641;270;1;388.1506619
29;Sumur Bandung;2015;3006;342;84;6;190.4015812
30;Ujungberung;2015;6732;310;568;1;426.4083316
1;Andir;2016;10131;1435;377;7;641.7027343
2;Antapani;2016;7732;88;484;6;489.7488443
3;Arcamanik;2016;7121;217;194;11;451.047791
4;Astanaanyar;2016;12545;375;240;22;794.606732
5;Babakan Ciparay;2016;15326;618;435;34;970.7566978
6;Bandung Kidul;2016;6143;812;95;9;389.1007696
7;Bandung Kulon;2016;14838;828;873;7;939.8465276
8;Bandung Wetan;2016;3216;51;120;4;203.7030889
9;Batununggal;2016;12557;279;461;27;795.3668181
10;Bojongloa Kaler;2016;7153;131;350;20;453.0746874
11;Bojongloa Kidul;2016;8937;324;626;13;566.0741621
12;Buahbatu;2016;9885;83;455;2;626.1209682
13;Cibeunying Kaler;2016;7377;198;98;3;467.2629623
14;Cibeunying Kidul;2016;11212;740;158;22;710.1738285
15;Cibiru;2016;7358;474;436;12;466.0594925
16;Cicendo;2016;10360;1292;677;13;656.2077117
17;Cidadap;2016;6070;359;239;28;384.4769122
18;Cinambo;2016;2586;221;292;2;163.7985659
19;Coblong;2016;13680;723;584;1;866.4982139
20;Gedebage;2016;3766;203;263;0;238.5403709
21;Kiaracondong;2016;13704;735;1194;42;868.0183862
22;Lengkong;2016;7417;263;271;34;469.7965828
23;Mandalajati;2016;6567;186;576;13;415.957147
24;Panyileukan;2016;4113;210;103;0;260.5195288
25;Rancasari;2016;7879;324;448;5;499.0598997
26;Regol;2016;8488;383;323;7;537.6342719
27;Sukajadi;2016;11254;159;559;23;712.8341301
28;Sukasari;2016;8506;374;270;0;538.7744011
29;Sumur Bandung;2016;3748;247;84;4;237.4002416
30;Ujungberung;2016;7880;247;568;3;499.1232402
